rank,count,word
953,138,diary
954,138,bl
955,137,search
956,137,won
957,137,cat
958,137,novel
959,137,pointed
960,137,shouted
961,137,unless
962,137,sack
963,137,wife
964,136,circumstances
965,136,cried
966,136,awful
967,136,forever
968,136,christmas
969,136,waste
970,136,stopped
971,136,followed
972,136,mental
973,136,car
974,136,pastry
975,135,miss
976,135,glass
977,135,atop
978,135,writer
979,135,david
980,135,postage
981,135,hammer
982,135,unlike
983,135,cave
984,135,forget
985,134,parts
986,134,fly
987,134,pay
988,134,bobnit
989,134,deal
990,134,magnificent
991,134,information
992,134,church
993,133,christ
994,133,cause
995,133,discover
996,133,reached
997,133,chance
998,133,yellow
999,133,project
1000,133,bridge
1001,133,lightning
1002,132,enormous
1003,132,farm
1004,132,puddle
1005,132,speaking
1006,132,aside
1007,132,tivol
1008,132,telling
1009,132,majestic
1010,132,takes
1011,132,flies
1012,131,approach
1013,131,miles
1014,131,equally
1015,131,apart
1016,131,countryside
1017,131,buttons
1018,131,tzmann
1019,130,picked
1020,130,pins
1021,130,photograph
1022,130,broken
1023,130,claim
1024,130,lead
1025,130,guide
1026,130,mark
1027,130,lake
1028,130,fort
1029,129,afraid
1030,129,sentence
1031,129,dressed
1032,129,sprawled
1033,129,edge
1034,129,pudding
1035,129,teeth
1036,129,dogs
1037,128,essay
1038,128,topic
1039,128,string
1040,128,tinies
1041,128,members
1042,128,leaving
1043,128,ran
1044,128,puny
1045,128,date
1046,128,episode
1047,128,dot
1048,127,appearance
1049,127,playing
1050,127,horrible
1051,127,unable
1052,127,fine
1053,127,mountains
1054,127,parents
1055,127,science
1056,127,c
1057,127,pier
1058,127,fish
1059,127,someone
1060,126,thomas
1061,126,foolish
1062,126,straight
1063,126,baron
1064,126,game
1065,126,twenty
1066,125,wholly
1067,125,sleep
1068,125,effect
1069,125,snap
1070,125,legs
1071,125,british
1072,125,thick
1073,125,cocktail
1074,124,wisdom
1075,124,herself
1076,124,tim
1077,124,shouting
1078,124,pick
1079,124,points
1080,124,theory
1081,124,bees
1082,123,road
1083,123,characters
